MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21928565,1007821.3,85755,-110.97315,32.461567,1.75,1319.27,2018,3,4.0,2635.0,3.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Microwave, Refrigerator, Reverse Osmosis",1.0,"Carpet, Ceramic Tile",0.0
21510085,975000.0,85704,-110.961791,32.370787,2.95,3309.31,2014,4,3.0,3200.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Ceramic Tile",0.0
21201154,950000.0,85718,-110.914279,32.285927,1.47,11513.0,2005,5,5.0,4548.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Natural Stone",193.0
21905809,962495.0,85745,-111.074359,32.256525,3.41,8372.88,2004,4,4.0,3501.0,6.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Built in, Oven: Double",3.0,"Carpet, Ceramic Tile, Natural Stone",0.0
21502009,975000.0,85718,-110.939977,32.338549,1.01,10419.0,1999,4,4.0,3861.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Mexican Tile",157.0
21920224,975000.0,85718,-110.952477,32.314963,0.81,8725.3,2008,4,5.0,4391.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: granite/wood, Microwave: Microwave, Oven: Oven",3.0,"Mexican Tile, Natural Stone, Wood, Other: studio laminate",0.0
21405516,970000.0,85718,-110.925584,32.304243,1.17,8773.05,2008,4,4.0,4200.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Ceramic Tile, Wood",5.0
21605556,950000.0,85750,-110.837046,32.317722,0.49,10592.88,1993,4,5.0,4589.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone",142.0
21632492,1075000.0,85718,-110.92597,32.303525,2.37,6686.0,1969,4,4.0,4361.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Mexican Tile, Wood",5.0
21131918,950000.0,85750,-110.833401,32.316853,1.3,8098.0,2008,4,4.0,4547.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Ceramic Tile, Wood",9.0
21118330,980000.0,85755,-110.961253,32.474047,1.46,9424.58,2005,4,4.0,4497.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",145.0
21300786,980000.0,85750,-110.833959,32.321185,0.61,8246.0,1998,4,4.0,3466.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",117.0
21325140,999000.0,85718,-110.898046,32.284422,1.34,9243.89,2006,4,5.0,4838.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Ceramic Tile, Wood",0.0
21329925,969500.0,85716,-110.921262,32.224432,0.53,4391.19,1958,5,4.0,4599.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Concrete, Other",0.0
21712202,980000.0,85715,-110.860122,32.263208,0.68,7977.18,1979,5,4.0,4061.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Mexican Tile",48.0
21814164,915000.0,85737,-111.026605,32.411687,3.31,2665.29,2018,4,5.0,3436.0,3.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Wolf, Oven: Wolf",1.0,Concrete,0.0
21909149,950000.0,85718,-110.94533,32.315039,0.8,4260.91,1998,4,6.0,4245.0,3.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Built in, Oven: Range",0.0,"Natural Stone, Wood",5.0
21311239,998000.0,85755,-110.961238,32.466766,1.18,9404.05,2008,4,5.0,4627.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone",199.0
21400310,987500.0,85755,-110.967167,32.462871,1.16,9509.54,2000,5,6.0,5014.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone, Wood",83.0
21731863,937650.0,85739,-110.860806,32.55082,0.42,5557.36,2005,4,4.0,4020.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Lazy Susan, Pantry: Butler, Refrigerator, Warming Drawer, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: GE Monogram, Oven: Double - GE Monogram",2.0,"Carpet, Ceramic Tile",170.0
21532805,935000.0,85755,-110.969466,32.460571,0.92,10335.2,1997,5,5.0,4895.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Mexican Tile",100.0
21809664,975000.0,85658,-111.086658,32.464426,0.67,11467.5,2006,4,4.0,4394.0,3.0,"Dishwasher, Double Sink, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite",3.0,"Carpet, Natural Stone",113.0
21825351,945000.0,85718,-110.934431,32.346324,0.85,8041.39,2013,4,4.0,3351.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Indoor Grill, Island, Lazy Susan, Pantry: Walk-In, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Countertops: Granite",1.0,"Carpet, Natural Stone",100.0
21900182,975000.0,85750,-110.833392,32.316842,1.3,10022.98,2008,5,4.0,4631.0,4.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless GE, Oven: Double Stainless",1.0,"Carpet, Ceramic Tile",17.0
21325900,975000.0,85737,-110.988367,32.404524,0.82,9245.47,2002,3,4.0,4264.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Wood, Other",51.0
21327394,890000.0,85718,-110.94062,32.347876,1.23,11318.66,2004,4,5.0,4143.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Ceramic Tile",160.0
21409453,980000.0,85718,-110.927327,32.288646,2.1,10541.0,2004,5,5.0,4778.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Natural Stone, Wood",0.0
21329342,975000.0,85737,-110.976402,32.409208,3.36,11360.0,2005,5,4.0,3870.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",137.0
21505090,985000.0,85749,-110.734002,32.25735,1.07,1083.48,2015,5,5.0,4700.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",125.0
21504431,980000.0,85718,-110.90684,32.325209,0.85,9113.0,2004,5,4.0,4927.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Ceramic Tile",0.0
21515475,945000.0,85750,-110.833305,32.322167,0.33,8168.0,1989,4,4.0,3597.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Ceramic Tile, Wood",135.0
21525955,970000.0,85749,-110.726315,32.292524,3.38,7958.15,1992,3,4.0,4946.0,6.0,"Dishwasher, Refrigerator, Microwave, Oven",2.0,"Concrete, Natural Stone",0.0
21510351,850000.0,85750,-110.809108,32.276643,0.15,8431.0,2005,2,3.0,2030.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",0.0,Natural Stone,0.0
21527467,950000.0,85716,-110.922674,32.223156,0.59,11456.0,1977,4,5.0,4068.0,2.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Mexican Tile, Natural Stone",0.0
21601655,1020000.0,85755,-110.966173,32.461848,1.4,11089.19,1997,5,5.0,5053.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Mexican Tile, Natural Stone",75.0
21708202,915000.0,85750,-110.861663,32.324043,0.4,2299.9,2017,4,4.0,4331.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator",3.0,Ceramic Tile,43.0
21201520,925000.0,85750,-110.843547,32.323168,0.55,8391.0,2001,3,3.0,3479.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven",2.0,Mexican Tile,116.0
21126579,950000.0,85718,-110.944669,32.338396,1.19,9834.0,2001,3,3.0,3358.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven",2.0,"Carpet, Ceramic Tile",159.0
21128828,800000.0,85718,-110.920262,32.297649,1.02,6556.0,1994,3,5.0,3415.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,Concrete,133.0
21205556,925000.0,85718,-110.931846,32.342669,1.36,9203.0,2006,4,3.0,3874.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",110.0
21303980,930000.0,85719,-110.940743,32.230184,0.3,3840.0,1936,4,4.0,4647.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,Concrete,0.0
21300248,955000.0,85750,-110.845824,32.326148,0.42,7647.16,2000,4,5.0,4116.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",123.0
21700936,956000.0,85749,-110.734958,32.258158,0.83,1043.64,2016,4,5.0,4654.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",42.0
21709508,965000.0,85719,-110.936218,32.226357,0.17,3001.0,2017,4,3.0,3183.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Concrete",0.0
21630973,965000.0,85755,-111.008139,32.469016,1.03,2699.0,2017,4,4.0,4158.0,3.0,"Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Refrigerator, Appliance Color: Stainless, Countertops: Granite",1.0,Natural Stone,194.0
21712435,975000.0,85742,-111.031812,32.408755,3.35,9512.45,2007,5,5.0,4255.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Stainless",2.0,"Carpet, Ceramic Tile, Concrete, Other: Brick inlayed",50.0
21806483,955000.0,85737,-110.982187,32.383653,1.68,7391.41,2002,4,5.0,4084.0,3.0,"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Butler, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: granite, Microwave: built in, Oven: mutiple",2.0,"Carpet, Ceramic Tile, Natural Stone, Wood",6.0
